#,,,,,,,,,,,,
# Results on Sunday May 18 2025 09:04:07 UTC.,,,,,,,,,,,,
# USER AGENT: Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.59(0x18003b2a) NetType/WIFI Language/zh_CN,,,,,,,,,,,
# Design number was non-random = 0,,,,,,,,,,,,
#,,,,,,,,,,,,
# Columns below this comment are as follows:,,,,,,,,,,,,
# 1. Time results were received.,,,,,,,,,,,,
# 2. MD5 hash that hopefully uniquely identifies participant.,,,,,,,,,,,,
# 3. Controller name.,,,,,,,,,,,,
# 4. Item number.,,,,,,,,,,,,
# 5. Element number.,,,,,,,,,,,,
# 6. Type.,,,,,,,,,,,,
# 7. Group.,,,,,,,,,,,,
# 8. Field name.,,,,,,,,,,,,
# 9. Field value.,,,,,,,,,,,,
1747559047,72fa1c25a565b8f56bc987f8b4419e21,Form,3,0,instruction,NULL,_REACTION_TIME_,11787,,,,
1747559047,72fa1c25a565b8f56bc987f8b4419e21,Form,4,0,consent,NULL,credit,yes,,,,
1747559047,72fa1c25a565b8f56bc987f8b4419e21,Form,4,0,consent,NULL,_REACTION_TIME_,5353,,,,
1747559047,72fa1c25a565b8f56bc987f8b4419e21,Form,5,0,background,NULL,age,27,,,,
1747559047,72fa1c25a565b8f56bc987f8b4419e21,Form,5,0,background,NULL,gender,男,,,,
1747559047,72fa1c25a565b8f56bc987f8b4419e21,Form,5,0,background,NULL,resideShanghai,yes,,,,
1747559047,72fa1c25a565b8f56bc987f8b4419e21,Form,5,0,background,NULL,_REACTION_TIME_,28716,,,,
# Columns below this comment are as follows:,,,,,,,,,,,,
# 1. Time results were received.,,,,,,,,,,,,
# 2. MD5 hash that hopefully uniquely identifies participant.,,,,,,,,,,,,
# 3. Controller name.,,,,,,,,,,,,
# 4. Item number.,,,,,,,,,,,,
# 5. Element number.,,,,,,,,,,,,
# 6. Type.,,,,,,,,,,,,
# 7. Group.,,,,,,,,,,,,
# 8. Question (NULL if none).,,,,,,,,,,,,
# 9. Answer.,,,,,,,,,,,,
# 10. Whether or not answer was correct (NULL if N/A).,,,,,,,,,,,,
# 11. Time taken to answer.,,,,,,,,,,,,
1747559047,72fa1c25a565b8f56bc987f8b4419e21,Question,46,0,practice,111,<p><audio controls src='https://shanghainese-1359816177.cos.ap-shanghai.myqcloud.com/111.mp3'></audio></p><br><br><b>后头，天天勒进教室之前帮琪琪打了个招呼。<br><br></b>谁进了教室？,天天,1,24285,,
1747559047,72fa1c25a565b8f56bc987f8b4419e21,Question,47,0,practice,112,<p><audio controls src='https://shanghainese-1359816177.cos.ap-shanghai.myqcloud.com/112.mp3'></audio></p><br><br><b>后头，伊一下车子，佳佳就老热情地欢迎了贝贝。<br><br></b>谁下了车子？,贝贝,0,21113,,
# Columns below this comment are as follows:,,,,,,,,,,,,
# 1. Time results were received.,,,,,,,,,,,,
# 2. MD5 hash that hopefully uniquely identifies participant.,,,,,,,,,,,,
# 3. Controller name.,,,,,,,,,,,,
# 4. Item number.,,,,,,,,,,,,
# 5. Element number.,,,,,,,,,,,,
# 6. Type.,,,,,,,,,,,,
# 7. Group.,,,,,,,,,,,,
# 8. PennElementType.,,,,,,,,,,,,
# 9. PennElementName.,,,,,,,,,,,,
# 10. Parameter.,,,,,,,,,,,,
# 11. Value.,,,,,,,,,,,,
# 12. EventTime.,,,,,,,,,,,,
# 13. Comments.,,,,,,,,,,,,
1747559047,72fa1c25a565b8f56bc987f8b4419e21,PennController,0,0,StartEx,NULL,PennController,0,_Trial_,Start,1.74756E+12,NULL
1747559047,72fa1c25a565b8f56bc987f8b4419e21,PennController,0,0,StartEx,NULL,PennController,0,_Trial_,End,1.74756E+12,NULL
# Columns below this comment are as follows:,,,,,,,,,,,,
